,0503 5C,VOTES,PERCENT,
0,REGISTERED VOTERS - TOTAL,1431,,
1,BALLOTS CAST - TOTAL.,222,,
2,BALLOTS CAST - BLANK.,0,,
3,VOTER TURNOUT - TOTAL,,15.51,
4,VOTER TURNOUT - BLANK,,,
5,MAYOR,,,
6,Vote for 1,,,
7,Domenic J. Sarno,173,78.28,
8,Yolanda Cancel.,48,21.72,
9,WRITE-IN.,0,,
10,Blanks,0,,
11,CITY COUNCIL AT LARGE Vote for 5,,,
12,Justin J. Hurst,139,16.83,
13,Jesse Lederman.,89,10.77,
14,Kateri B. Walsh,114,13.80,
15,Tracye L. Whitfield,99,11.99,
16,LaMar Cook,50,6.05,
17,Sean Curran. .,96,11.62,
18,Johnnie Ray Mcknight.,39,4.72,
19,Kelli P. Moriarty-Finn,64,7.75,
20,Christopher J. Pohner,53,6.42,
21,Israel Rivera,79,9.56,
22,WRITE-IN.,4,.48,
23,Blanks,284,,
24,CITY COUNCIL WARD 5,,,
25,Vote for 1,,,
26,Marcus J. Williams,138,73.40,
27,Edward Green,50,26.60,
28,WRITE-IN.,0,,
29,Blanks,34,,
