,0
0,ACTON_-_1
1,ACTON_-_3
2,ACTON_-_4
3,ACTON_-_5
4,ACTON_-_6
5,ALFORD_-_1
6,AMHERST_-_1
7,AMHERST_-_10
8,AMHERST_-_2
9,AMHERST_-_3
10,AMHERST_-_6
11,AMHERST_-_7
12,ANDOVER_-_2
13,ANDOVER_-_3
14,ANDOVER_-_4
15,ANDOVER_-_5
16,ANDOVER_-_9
17,AQUINNAH_-_1
18,ARLINGTON_-_8
19,ASHBURNHAM_-_1
20,BEDFORD_-_4
21,BELMONT_-_1
22,BELMONT_-_2
23,BELMONT_-_3
24,BELMONT_-_5
25,BELMONT_-_6
26,BELMONT_-_7
27,BELMONT_-_8
28,BEVERLY_6_1
29,BILLERICA_-_5
30,BOLTON_-_1
31,BOSTON_10_9
32,BOSTON_11_8
33,BOSTON_19_4
34,BOSTON_19_6
35,BOSTON_19_7
36,BOXBOROUGH_-_1
37,BOYLSTON_-_1
38,BRIDGEWATER_-_3
39,BROOKLINE_-_1
40,BROOKLINE_-_10
41,BROOKLINE_-_11
42,BROOKLINE_-_12
43,BROOKLINE_-_13
44,BROOKLINE_-_14
45,BROOKLINE_-_15
46,BROOKLINE_-_16
47,BROOKLINE_-_3
48,BROOKLINE_-_4
49,BROOKLINE_-_5
50,BROOKLINE_-_6
51,BROOKLINE_-_7
52,BROOKLINE_-_8
53,BROOKLINE_-_9
54,BURLINGTON_-_1
55,CAMBRIDGE_10_2
56,CAMBRIDGE_10_3
57,CAMBRIDGE_6_3
58,CAMBRIDGE_7_1
59,CAMBRIDGE_9_1
60,CAMBRIDGE_9_2
61,CAMBRIDGE_9_3
62,CANTON_-_4
63,CARVER_-_3
64,CHELMSFORD_-_6
65,CHELMSFORD_-_7
66,CHELSEA_1_2
67,CHELSEA_1_3
68,CHELSEA_2_3
69,CHILMARK_-_1
70,COHASSET_-_2
71,CONCORD_-_1
72,CONCORD_-_2
73,CONCORD_-_3
74,CONCORD_-_4
75,CONCORD_-_5
76,CUMMINGTON_-_1
77,DARTMOUTH_-_8
78,DARTMOUTH_-_9
79,DEDHAM_-_1
80,DRACUT_-_4
81,DRACUT_-_8
82,DUXBURY_-_2
83,EASTHAMPTON_-_1
84,EASTHAMPTON_-_2
85,EASTHAMPTON_-_3
86,EASTHAMPTON_-_4
87,EDGARTOWN_-_1
88,ESSEX_-_1
89,FRAMINGHAM_-_1
90,FRAMINGHAM_-_11
91,FRAMINGHAM_-_2
92,FRAMINGHAM_-_2.0
93,GEORGETOWN_-_1
94,GLOUCESTER_4_2
95,GROTON_-_1
96,GROTON_-_2
97,HADLEY_-_1
98,HAMILTON_-_2
99,HARVARD_-_1
100,HATFIELD_-_1
101,HAWLEY_-_1
102,HINGHAM_-_2
103,HINGHAM_-_3
104,HOLDEN_-_2
105,HOLDEN_-_4
106,HOLLISTON_-_1
107,HOPEDALE_-_1
108,HOPKINTON_-_4
109,IPSWICH_-_2
110,LEE_-_1
111,LENOX_-_1
112,LEVERETT_-_1
113,LEXINGTON_-_1
114,LEXINGTON_-_2
115,LEXINGTON_-_3
116,LEXINGTON_-_4
117,LEXINGTON_-_5
118,LEXINGTON_-_6
119,LEXINGTON_-_7
120,LEXINGTON_-_8
121,LEXINGTON_-_9
122,LINCOLN_-_1
123,LINCOLN_-_2
124,LINCOLN_-_2.0
125,LONGMEADOW_-_E
126,MARBLEHEAD_-_2
127,MARION_-_1
128,MARSHFIELD_-_7
129,MEDFORD_2_2
130,MEDFORD_6_1
131,MEDFORD_6_2
132,METHUEN_-_11
133,MIDDLETON_-_1
134,MILLBURY_-_2
135,MILTON_-_3
136,NAHANT_-_1
137,NEEDHAM_-_E
138,NEEDHAM_-_G
139,NEEDHAM_-_H
140,NEEDHAM_-_I
141,NEEDHAM_-_J
142,NEWBURYPORT_2_1
143,NEWBURYPORT_3_1
144,NEWTON_1_3
145,NORTHAMPTON_1_B
146,NORTHAMPTON_3_A
147,NORTHAMPTON_5_B
148,NORTHAMPTON_7_A
149,NORTHAMPTON_7_B
150,NORTHBRIDGE_-_4
151,PITTSFIELD_4_A
152,PLYMOUTH_-_15
153,PLYMOUTH_-_5
154,PRINCETON_-_1
155,ROWLEY_-_1
156,SHARON_-_1
157,SHERBORN_-_1
158,SHREWSBURY_-_1
159,SHREWSBURY_-_7
160,SHUTESBURY_-_1
161,SOMERVILLE_2_2
162,SOMERVILLE_2_3
163,SOMERVILLE_4_3
164,SOMERVILLE_5_1
165,SOMERVILLE_7_1
166,SOMERVILLE_7_2
167,SOUTHAMPTON_-_1
168,SPRINGFIELD_1_A
169,SPRINGFIELD_3_C
170,SPRINGFIELD_3_G
171,SPRINGFIELD_4_F
172,STERLING_-_1
173,STOUGHTON_-_4
174,SUDBURY_-_3
175,SUDBURY_-_4
176,SUNDERLAND_-_1
177,TEWKSBURY_-_3
178,TOLLAND_-_1
179,TOPSFIELD_-_1
180,TYRINGHAM_-_1
181,UPTON_-_2
182,WAKEFIELD_-_1
183,WASHINGTON_-_1
184,WATERTOWN_-_3
185,WATERTOWN_-_4
186,WATERTOWN_-_7
187,WAYLAND_-_1
188,WAYLAND_-_2
189,WAYLAND_-_2.0
190,WAYLAND_-_4
191,WELLESLEY_-_A
192,WELLESLEY_-_B
193,WELLESLEY_-_D
194,WELLESLEY_-_E
195,WELLESLEY_-_H
196,WESTFORD_-_1
197,WESTMINSTER_-_2
198,WESTON_-_1
199,WESTON_-_2
200,WESTON_-_2.0
201,WESTON_-_3
202,WESTWOOD_-_1
203,WESTWOOD_-_3
204,WESTWOOD_-_4
205,WILLIAMSBURG_-_1
206,WILMINGTON_-_2
207,WINCHESTER_-_3
208,WINCHESTER_-_4
